participantId,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,gameId,gameDuration,lane,teamId,championId,spell1Id,spell2Id
3oSjwfgmdb9OncM9ROrXjYfSXGTnYuOK1-ShQ9ktuvY,False,6630,3053,2055,0,3111,0,3340,3,10,8,0,1,0,335,0,0,0,0,0,95535,44862,49895,778,0,17044,5288,10978,778,2765,1,15543,2474,2474,14,22,26015,7159,16048,2806,9168,8675,1,0,153,0,0,0,201,13,7,0,11,3,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,482,0,0,9111,770,220,0,9105,15,50,0,8299,585,0,0,8473,783,0,0,8242,86,0,0,8000,8400,5005,5008,5003,2256895527,1602,MIDDLE,100,64,4,14
1tyuNl6lSdGj_1D0jE-rHCOwiNViGacl7We9INSRy4dVlwk,False,2421,6631,0,3158,3071,6694,3340,3,1,6,3,1,1,1568,0,0,0,0,0,156330,0,155966,364,0,10073,0,9709,364,1818,1,17056,9624,2475,22,26,15402,3541,10144,1716,12040,11725,1,0,228,18,0,9,322,15,5,0,13,2,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,227,0,0,9111,808,180,0,9104,17,30,0,8299,263,0,0,8401,320,0,0,8473,657,0,0,8000,8400,5007,5008,5002,2256895527,1602,TOP,100,92,4,14
HJP4U5RXScoAaQ6n5ruavZi81w3mH8i8SaXOxjPxUlmQ,False,3860,3158,3742,1028,1029,2055,3364,1,11,11,0,1,0,327,0,0,0,0,0,21966,12282,3243,6441,0,8238,6408,833,996,558,4,20842,19,19,43,37,18168,5842,11169,1156,6413,6075,0,0,28,1,0,1,81,10,11,0,22,5,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,747,0,0,8401,186,0,0,8473,501,0,0,8242,90,0,0,8347,0,0,0,8306,2,0,0,8400,8300,5007,5002,5002,2256895527,1602,MIDDLE,100,526,14,4
gFwlatQAlbKUXRLOmXJEDt9XQRBDjuNsCEX7oQCeV-V0im2LEsf_ChBs,False,1055,3042,6691,3158,6676,0,3363,10,8,4,3,3,4,360,2,1,0,0,0,111692,8059,103396,237,591,26054,5301,20586,165,1889,4,6227,4074,4074,17,32,15515,4381,9301,1832,12195,10905,1,0,156,4,4,0,265,13,1,0,9,5,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9923,66,84,0,8139,896,0,0,8138,18,0,0,8135,0,5,0,8345,3,0,0,8347,0,0,0,8100,8300,5005,5008,5002,2256895527,1602,BOTTOM,100,110,7,4
jWDCEUvPD0HI_VJyHgCl2eAlb1GMctatvgReQuaD3mUtSJE,False,6673,0,3047,3508,0,0,3364,2,3,5,2,1,1,1107,0,0,0,0,0,123021,11173,101818,10030,420,9632,462,7953,1216,10945,1,14093,13567,1368,36,14,20981,5227,14810,943,8420,8175,1,0,26,108,72,8,500,13,5,0,12,4,False,False,True,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9923,30,83,0,8143,185,0,0,8136,7,14,0,8105,10,4,0,8275,19,0,0,8232,3,30,0,8100,8200,5005,5008,5002,2256895527,1602,JUNGLE,100,5,4,11
8pSZzRFvW4gi0T93vG6z4GB-rfCiINH6gutMk2ASG-mNBAk,True,3041,2033,6656,3157,3113,3158,3340,5,5,9,4,1,1,804,0,0,0,0,0,142925,126689,14332,1904,0,12020,9981,1195,844,2441,1,9471,7191,7191,11,25,16161,3862,11843,456,12400,9900,2,0,202,8,4,0,129,15,0,0,7,2,True,False,False,False,False,True,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8112,665,0,0,8139,930,0,0,8138,30,0,0,8135,0,5,0,8316,5161,0,0,8352,274,1538,1125,8100,8300,5005,5008,5002,2256895527,1602,MIDDLE,200,4,14,4
_Jz5LH88saAC95KDYJOee9I16SuCJoFfjtvUcqfJ6v-oolc,True,6664,0,3860,3047,3076,3067,3364,2,4,21,0,1,0,663,0,0,0,0,0,23330,12966,3727,6636,0,5890,4265,789,835,10540,5,22294,1942,513,61,44,15923,3910,11519,494,7773,6675,0,0,28,1,1,0,79,12,9,0,37,3,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8230,14,0,0,8275,17,0,0,8234,8726,0,0,8232,5,0,0,8306,8,0,0,8316,461,0,0,8200,8300,5007,5002,5003,2256895527,1602,BOTTOM,200,12,4,14
t_h4DgIIjeNGXmNthW0GZVO7uHW5PTJOVQVdK3bx8F18EDdqzXnh20bl,True,3053,3047,6631,3075,3133,0,3340,5,3,4,4,2,1,457,1,0,0,0,0,151462,824,131518,19119,14,14004,166,10974,2863,4988,1,21556,10197,5243,18,15,19173,4003,14063,1106,12051,11925,3,0,208,16,4,9,148,15,1,0,7,5,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,416,0,0,9111,1494,180,0,9105,21,50,0,8299,449,0,0,8242,30,0,0,8473,664,0,0,8000,8400,5005,5008,5002,2256895527,1602,TOP,200,122,4,12
cXkf2-GzscFdsGmeZUl4f5GFNHz-4lHwdjDvZ0xgUZGQuuDjyADQg2PG,True,3026,3006,2055,3036,3085,6672,3363,14,3,13,8,2,3,343,2,0,0,0,0,169973,14275,142910,12787,468,31371,6562,21652,3157,2572,1,9706,19096,3250,33,6,16699,2915,13386,398,14441,13375,1,0,181,32,16,4,81,15,3,0,9,7,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9923,72,82,0,8139,991,0,0,8138,18,0,0,8106,5,0,0,8304,8,1,5,8345,3,0,0,8100,8300,5005,5008,5002,2256895527,1602,BOTTOM,200,145,3,4
CX5ysP3hvOxoajuWNLR2gMA0G3ciKc5n875aeMVOsGqXhddlQ8uxAPtK,True,3742,2055,6664,1029,3047,3075,3364,7,4,14,3,1,1,666,0,0,0,0,0,124315,67077,40556,16681,19,9399,3355,5288,756,11454,1,31840,14788,1780,31,31,29409,5860,22483,1065,11633,10900,1,1,36,112,63,24,154,14,8,0,7,8,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8230,15,0,0,8275,18,0,0,8234,12338,0,0,8232,4,20,0,9111,2144,420,0,9104,8,40,0,8200,8000,5005,5008,5002,2256895527,1602,JUNGLE,200,77,4,11
