participantId,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,gameId,gameDuration,lane,teamId,championId,spell1Id,spell2Id
DaHY2t9jJD7BqYzz5Yg_jS4L6bvcJ27VMRKPQGfK_WDRiBg,False,1035,6631,2031,3111,0,0,3340,1,7,0,0,1,0,280,0,0,0,0,0,83195,6374,69591,7230,0,5451,496,4900,54,5787,1,7500,12963,860,9,53,17000,4761,10942,1296,5719,4900,0,0,19,81,61.0,0.0,325,9,0,0,5.0,1.0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8008,0,40,0,9111,31,20,0,9104,0,0,0,8014,50,0,0,8143,115,0,0,8106,1,0,0,8000,8100.0,5005,5008,5003,2264529373,1100,NONE,100,56,11,4
kmY4eqa9WuG_B_HDIrJ2OGuvK3L7wKhJXejRI5U0MQhg0ic,False,1056,2003,2010,3802,1001,0,3340,1,1,0,0,1,0,295,0,0,0,0,0,11077,7850,3227,0,0,1081,906,174,0,10,1,1072,0,0,0,1,3091,1916,865,309,3552,2100,0,0,35,0,0.0,0.0,1,8,0,0,0.0,0.0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,0,0,0,8226,50,0,0,8210,0,0,0,8237,29,0,0,8345,3,0,0,8347,0,0,0,8200,8300.0,5008,5008,5003,2264529373,1100,NONE,100,45,4,21
QjDFyhMwbZw7G166aDND5JKiGAf1vVHddISJjTm9FkJnxuc,False,3855,3190,2055,3117,0,0,3364,0,8,8,0,0,0,261,0,0,0,0,0,10951,5143,3036,2771,0,3691,2739,514,438,285,3,8359,316,316,14,22,12572,4978,6098,1495,4632,4275,0,0,18,0,0.0,0.0,53,9,1,0,7.0,2.0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,272,0,0,8463,506,0,0,8473,426,0,0,8242,58,0,0,8321,4,0,0,8347,0,0,0,8400,8300.0,5007,5003,5002,2264529373,1100,NONE,100,412,4,14
xGC5J_xnrEGPXR5y6NYH07cYlzl2-8yRgFetReGRQmoJZAQ,False,6672,3006,1055,1036,1042,1036,3363,6,6,1,3,1,1,332,0,0,0,0,0,43078,4109,36080,2888,309,9987,2915,6462,609,1044,1,4352,887,810,9,3,11618,7047,4100,470,6972,6225,0,0,97,0,0.0,0.0,22,10,1,0,4.0,0.0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9923,31,79,0,8139,526,0,0,8138,8,0,0,8106,2,0,0,9111,237,140,0,8014,201,0,0,8100,8000.0,5005,5008,5002,2264529373,1100,NONE,100,145,3,4
t1xfmc4j6UtXi6u4jXGgyoJ_RTt2CCuRp9RLVqeYoiLEGUk,False,1055,6630,1001,1033,0,0,3340,1,6,0,0,1,0,314,0,0,0,0,0,45782,0,44182,1600,0,8030,0,8030,0,4054,1,9466,0,0,9,14,17308,4601,10293,2413,5044,4725,0,0,107,0,0.0,0.0,107,11,1,0,4.0,0.0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,161,0,0,9111,56,20,0,9105,0,0,0,8299,278,0,0,8473,577,0,0,8453,479,0,0,8000,8400.0,5008,5008,5002,2264529373,1100,NONE,100,266,4,12
fWfmrZyHxcTd1sHziC1QNpip5-FrTTJTR23YEiSNDaQvgP8,True,3853,2031,2055,4005,3114,3158,3364,4,0,16,4,1,1,0,0,0,0,0,0,22687,18200,4189,297,0,8407,6883,1226,297,454,1,2633,2837,2068,21,16,5140,1460,3679,0,7518,5125,1,0,9,0,0.0,0.0,123,10,3,0,10.0,1.0,True,False,False,True,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,710,0,0,8226,250,90,0,8210,0,0,0,8237,321,0,0,8473,211,0,0,8453,168,391,0,8200,8400.0,5008,5008,5002,2264529373,1100,NONE,200,43,14,4
4NxmnDsszyrzYtR_rulbCzmXYd8AVMMcVgibjLKX_u4UJLI,True,3115,1028,0,3145,3020,1026,3364,8,3,6,5,2,2,487,2,0,0,0,0,117845,88694,23788,5362,0,8582,6772,1580,230,6129,1,11859,14943,4436,16,6,14107,1729,12286,91,9215,7125,2,0,14,122,82.0,6.0,136,11,3,0,4.0,1.0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,239,0,0,9111,642,280,0,9104,10,20,0,8014,301,0,0,8139,391,0,0,8135,1691,5,0,8000,8100.0,5005,5008,5002,2264529373,1100,NONE,200,131,4,11
s88if8ej8kBDeAR2GX18on2xq0MDlYIP4N6cYY0S0-HBXRQ,True,1055,2003,3006,6672,3123,1036,3363,4,5,11,2,1,1,248,0,0,0,0,0,82580,292,71796,10491,590,10205,292,9042,870,3197,3,4238,9149,7290,5,9,9274,2870,5773,630,7848,6150,4,0,113,4,0.0,4.0,36,10,0,0,3.0,0.0,False,False,True,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8021,1242,0,0,8009,1122,0,0,9104,10,30,0,8014,201,0,0,8275,7,0,0,8234,5063,0,0,8000,8200.0,5005,5008,5002,2264529373,1100,NONE,200,51,7,4
HOHuUBeMLnavcSHddTteyrdpMTkAUOxhwhnFaEJRG82hCns,True,6029,3047,3051,1054,3153,0,3340,4,0,5,4,1,1,1095,0,0,0,0,0,90467,146,85755,4564,0,11506,146,8971,2388,1120,1,11337,7987,7906,17,14,11843,890,10572,380,9331,7350,2,1,144,16,0.0,12.0,112,13,3,0,5.0,2.0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,138,0,0,9111,784,180,0,9105,13,50,0,8299,262,0,0,8446,1466,0,0,8242,14,0,0,8000,8400.0,5008,5008,5002,2264529373,1100,NONE,200,875,12,4
eyuvV4Alj1d9OLVm49DW78G8vg60N7nMeu2-Fy0rZ_U,True,1056,2003,3020,6655,3145,0,3363,8,1,10,8,2,1,291,2,0,0,0,0,63341,46258,8122,8960,0,11884,8608,1076,2198,761,1,1454,4669,3675,13,11,3294,1225,2068,0,8955,6125,0,1,110,0,0.0,0.0,83,12,1,0,6.0,0.0,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,750,0,0,8126,374,0,0,8138,30,0,0,8135,828,5,0,8224,62,0,0,8210,15,0,0,8100,8200.0,5008,5008,5002,2264529373,1100,NONE,200,161,4,21
