participantId,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,gameId,gameDuration,lane,teamId,championId,spell1Id,spell2Id
asbUKoxNZvw-1aJyouAtjAKVs2uaUDz7nuPIcLgXKNlB-W8,True,1055,2031,6673,3006,3046,0,3363,5,2,5,3,2,2,574,2,0,0,0,0,96325,3111,88153,5060,271,10377,1027,9350,0,1658,3,7114,6116,6116,25,29,10988,2733,8006,248,9213,8050,4,1,152,12,0.0,12.0,535,12,4,0,11.0,1.0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8008,1,30,0,8009,975,0,0,9103,18,20,0,8014,376,0,0,8224,231,0,0,8233,11,10,0,8000,8200,5005,5008,5002,2265131533,1204,BOTTOM,100,22,7,4
yEBzFSuzyFcQWXeuDoq1Jw1xLmKx1YvI8k_HDSElOxlA,True,0,2055,3158,1031,0,6630,3364,6,2,5,5,1,1,437,0,0,0,0,0,84321,7852,64453,12016,0,9565,954,8174,436,10323,1,11782,15515,1219,19,9,19160,5308,13715,136,7565,6000,0,0,9,84,60.0,4.0,294,11,7,0,8.0,3.0,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,82,0,0,9111,544,220,0,9104,12,50,0,8014,258,0,0,8143,246,0,0,8135,1803,5,0,8000,8100,5005,5008,5002,2265131533,1204,JUNGLE,100,121,4,11
i0VqKeccghUtTR_yWDflmRFCKC67WlPPYNI_sydJZf_d,True,1055,3053,2031,3074,1001,0,3340,6,2,4,4,1,2,830,0,0,0,0,0,100146,19926,79628,592,0,14723,3811,10319,592,6391,1,14018,8555,8555,18,6,17502,3877,12569,1055,9968,7425,3,1,145,4,0.0,0.0,19,13,1,0,6.0,1.0,False,False,True,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,429,0,0,9111,810,200,0,9104,17,10,0,8014,332,0,0,8143,487,0,0,8135,1186,4,0,8000,8100,5005,5008,5001,2265131533,1204,TOP,100,62,21,14
E3uTAL4aYtOLVQioR4-0CSnLnrByOAMO6V64LQwKaei3dxc,True,3853,6617,2003,3117,3114,1052,3364,3,3,15,2,1,1,446,0,0,0,0,0,9799,7964,1834,0,0,5268,4120,1147,0,2231,4,3797,1303,1303,32,32,7094,1076,5586,431,7068,5535,1,0,7,0,0.0,0.0,175,10,3,0,16.0,6.0,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8214,515,521,0,8226,250,240,0,8210,0,0,0,8236,24,0,0,8453,258,916,0,8473,344,0,0,8200,8400,5008,5008,5002,2265131533,1204,BOTTOM,100,117,3,4
YWcel6FsV3QSHHdyQ4LZEuvKY1Tzn3EBdIP8CNUjuLbnVWPJGb3WFg81,True,1056,3020,6655,1082,3145,0,3363,5,2,5,3,1,2,582,0,0,0,0,0,89637,72008,15989,1640,0,22113,19064,1987,1061,399,2,2930,5372,4519,19,16,6335,1212,5055,68,9257,6550,1,0,145,0,0.0,0.0,64,12,2,0,7.0,2.0,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,936,0,0,8143,707,0,0,8138,30,0,0,8105,10,4,0,8009,1852,0,0,8017,265,0,0,8100,8000,5008,5008,5003,2265131533,1204,MIDDLE,100,142,14,4
DmfiCVg_qy5z4TWJ1MShN9jsk1LD1kzsPxda3fDE_oC1iwQ,False,1082,1026,3115,3006,4635,0,3340,4,5,2,2,2,1,584,1,0,0,0,0,51904,30645,20119,1140,0,9307,6587,2719,0,4951,4,6631,3892,2276,8,4,17204,6583,9780,840,7462,6750,1,0,113,0,0.0,0.0,30,11,0,0,5.0,1.0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8008,1,10,0,9111,610,120,0,9104,17,10,0,8014,174,0,0,8139,561,0,0,8106,3,0,0,8000,8100,5005,5008,5002,2265131533,1204,MIDDLE,200,10,21,4
uwaInK3R34SYjd1PUXUvh0_wBEiRuM601Xu2sCeMtL3U3w,False,6630,3111,2055,3044,1037,2031,3340,3,2,3,3,1,1,680,0,0,0,0,0,68615,14675,47247,6692,0,6245,868,5018,358,5193,1,12786,7211,0,10,10,20421,9014,11011,395,7441,6875,0,0,2,84,63.0,0.0,337,11,4,0,6.0,0.0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,151,0,0,9111,413,120,0,9104,15,0,0,8014,136,0,0,8304,10,3,0,8347,0,0,0,8000,8300,5005,5008,5002,2265131533,1204,JUNGLE,200,64,4,11
znhimYqi3d3IdOnesTYdpJQI7vMXx9rJ44RLnPlouZk-tho,False,3153,3047,6029,1036,1028,1042,3340,1,5,1,0,1,0,462,0,0,0,0,0,76056,116,65242,10697,0,8704,116,7266,1320,170,1,12590,4024,3606,8,17,15048,4368,10417,262,6923,6950,1,0,132,2,1.0,0.0,77,11,0,0,5.0,0.0,True,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,132,0,0,9111,53,40,0,9105,0,0,0,8299,305,0,0,8453,370,365,0,8473,773,0,0,8000,8400,5008,5008,5002,2265131533,1204,TOP,200,875,4,12
YfUSA_EDWxi2_gMPC3tTrvnJeKmLh6UrqkPnfFrhksgVTxc,False,2031,3047,6673,3134,1036,1055,3340,2,7,3,0,1,0,263,0,0,0,0,0,58979,5238,53740,0,312,9329,1209,8120,0,2921,2,6257,2864,2864,13,0,13169,4553,8487,128,7244,6900,1,0,128,0,0.0,0.0,0,10,4,0,8.0,0.0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,150,0,0,9111,280,100,0,9104,18,10,0,8014,127,0,0,8139,482,0,0,8135,813,3,0,8000,8100,5005,5008,5002,2265131533,1204,BOTTOM,200,360,4,7
H0EkOWKCE-6OFQK83alDm3-r0EsFoBpVHlMdlHnMa1WR8hPE7_9Tg1b_,False,3853,2065,3009,2055,0,0,3364,0,6,4,0,0,0,314,0,0,0,0,0,10067,6864,2941,260,0,5794,3922,1610,260,1874,5,5557,0,0,27,15,11448,5257,5728,462,4620,4025,0,0,15,0,0.0,0.0,98,9,1,0,13.0,6.0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8465,2285,0,0,8463,475,0,0,8473,475,0,0,8453,283,185,0,8136,6,12,0,8105,11,4,0,8400,8100,5008,5008,5002,2265131533,1204,BOTTOM,200,432,14,4
