participantId,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,gameId,gameDuration,lane,teamId,championId,spell1Id,spell2Id
7-e8vVzu4q3GOHcnFRTMOKTL4rDAVPqRpX4YtGEe1k0FcMA,False,3860,3190,2055,3111,3024,1028,3364,2,4,4,0,1,0,857,0,0,0,0,0,21132,8928,6341,5862,0,4095,3059,572,464,4527,4,15762,818,220,16,26,14482,4687,9185,609,5863,5625,0,0,38,2,2,0,55,10,3,0,9,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,615,0,0,8463,173,0,0,8473,454,0,0,8242,41,0,0,8306,0,0,0,8347,0,0,0,8400,8300,5007,5002,5002,2241278687,1451,BOTTOM,100,12,4,14
7-e8vVzu4q3GOHcnFRTMOKTL4rDAVPqRpX4YtGEe1k0FcMA,True,6691,6695,3111,3181,1031,0,3340,7,2,14,6,1,1,886,0,0,0,0,0,43429,0,42210,1218,0,10535,0,9317,1218,2620,1,9051,4458,3296,10,25,10339,1745,8364,230,11237,10850,1,0,40,2,2,0,98,16,0,0,3,3,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9923,30,66,0,8126,358,0,0,8138,18,0,0,8106,5,0,0,8473,535,0,0,8242,26,0,0,8100,8400,5008,5008,5002,2239123592,1159,NONE,200,555,4,3
7-e8vVzu4q3GOHcnFRTMOKTL4rDAVPqRpX4YtGEe1k0FcMA,True,3042,3508,3111,3078,0,0,3340,3,6,12,0,1,0,393,0,0,0,0,0,61559,14865,45246,1447,451,16055,6108,9493,453,2005,1,2996,3496,3496,12,2,18821,14567,2165,2088,10650,10233,0,1,41,4,0,0,48,18,0,0,6,1,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,36,0,0,8009,2493,0,0,9103,24,0,0,8299,408,0,0,8143,206,0,0,8105,11,4,0,8000,8100,5008,5008,5002,2239081452,1602,BOTTOM,200,81,4,3
7-e8vVzu4q3GOHcnFRTMOKTL4rDAVPqRpX4YtGEe1k0FcMA,False,6655,3102,3020,3089,3135,4628,3340,6,11,14,2,2,3,433,1,0,0,0,0,202154,163428,5504,33222,0,23879,18676,245,4958,3340,1,9187,429,352,23,20,26249,16378,5251,4618,17308,16500,0,0,144,0,0,0,254,18,0,0,12,1,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8128,2052,19,0,8139,1390,0,0,8138,30,0,0,8106,5,0,0,8226,250,937,0,8236,48,0,0,8100,8200,5008,5008,5002,2239034982,2374,BOTTOM,100,161,4,3
7-e8vVzu4q3GOHcnFRTMOKTL4rDAVPqRpX4YtGEe1k0FcMA,False,6655,3089,3020,4628,3135,0,3340,6,6,19,2,1,3,657,0,0,0,0,0,117884,109704,8002,178,0,22650,21141,1359,150,3980,1,21653,5602,3371,19,39,20509,7330,12555,623,14427,13900,1,1,90,4,2,0,247,18,0,0,10,2,False,False,False,False,True,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8112,680,0,0,8139,1344,0,0,8138,30,0,0,8106,5,0,0,8226,250,1481,0,8236,48,0,0,8100,8200,5008,5008,5002,2238941326,2082,BOTTOM,200,99,4,3
7-e8vVzu4q3GOHcnFRTMOKTL4rDAVPqRpX4YtGEe1k0FcMA,True,6630,3111,3071,1036,3075,3077,3340,9,7,11,2,2,4,607,1,0,0,0,0,83381,1312,75545,6523,12,22836,215,18399,4221,6001,1,33475,5082,2931,12,39,32773,13919,15400,3454,14033,11850,1,0,70,0,0,0,78,18,0,0,8,0,False,False,False,False,False,True,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8010,1290,0,0,9111,2671,400,0,9105,14,0,0,8014,418,0,0,8143,72,0,0,8105,13,5,0,8000,8100,5007,5002,5002,2238777420,1534,BOTTOM,200,86,4,3
7-e8vVzu4q3GOHcnFRTMOKTL4rDAVPqRpX4YtGEe1k0FcMA,False,3508,3042,3078,3111,1018,1038,3340,5,10,10,3,2,1,371,1,0,0,0,0,91481,23864,66948,668,636,16876,11153,5723,0,2112,1,6314,1305,218,22,0,25905,23205,2033,666,14262,12033,1,0,78,4,4,0,26,18,0,0,11,3,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,0,0,0,8009,1223,0,0,9103,23,20,0,8299,681,0,0,8226,250,229,0,8237,572,0,0,8000,8200,5008,5008,5002,2238811789,1989,BOTTOM,100,81,4,3
7-e8vVzu4q3GOHcnFRTMOKTL4rDAVPqRpX4YtGEe1k0FcMA,False,6655,3135,3916,3020,1058,0,3340,5,5,10,2,1,2,505,0,0,0,0,0,72451,65269,4550,2631,0,14505,14000,479,26,1950,1,7702,667,225,7,24,13780,2462,9243,2074,9886,9350,0,0,48,5,1,0,125,17,0,0,4,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8128,1131,14,0,8139,518,0,0,8138,30,0,0,8135,793,5,0,8226,250,800,0,8236,24,0,0,8100,8200,5008,5008,5002,2238469163,1405,TOP,100,101,4,3
7-e8vVzu4q3GOHcnFRTMOKTL4rDAVPqRpX4YtGEe1k0FcMA,False,3508,3051,1001,3070,3057,0,3340,0,3,4,0,0,0,444,0,0,0,0,0,43078,10225,31261,1591,284,4944,2944,1978,21,983,1,2494,350,78,6,0,12117,10538,1578,0,6512,5300,0,0,62,0,0,0,0,14,0,0,4,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,0,0,0,8009,390,0,0,9103,0,0,0,8014,76,0,0,8126,22,0,0,8106,3,0,0,8000,8100,5008,5008,5002,2238477786,1077,NONE,200,81,4,3
7-e8vVzu4q3GOHcnFRTMOKTL4rDAVPqRpX4YtGEe1k0FcMA,False,4636,3020,3089,0,0,0,3340,1,5,3,0,1,0,484,0,0,0,0,0,41064,15318,25745,0,0,8759,7721,1037,0,4404,1,4526,2272,1684,8,0,20903,18756,1997,150,8555,8000,0,0,34,0,0,0,3,17,0,0,6,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8128,312,5,0,8139,883,0,0,8138,8,0,0,8106,2,0,0,8226,250,405,0,8237,408,0,0,8100,8200,5008,5008,5002,2237688047,1670,BOTTOM,200,81,4,3
